x,x_dot,theta,theta_dot
2.727579166736920357e-01,-9.367252453222342234e-01,3.006066993258707409e+00,-1.107542017063491357e+01
2.095023811561667615e-01,-2.900895144024045469e-01,2.057531309806445385e+00,-7.558016880471087440e+00
2.013034520614866707e-01,4.661271097110439299e-02,1.478559602925630934e+00,-4.118317948251323912e+00
2.073442558815990766e-01,4.030926067558104897e-02,1.226181220830033558e+00,-9.349241860541378513e-01
2.069452587330270765e-01,-3.962755699946716309e-02,1.291396378109059606e+00,2.238791853582789759e+00
2.054396264769821900e-01,6.229369838871919723e-02,1.675171100404603486e+00,5.462964875947727172e+00
2.340447953712904150e-01,5.896809815950155853e-01,2.400702013039941018e+00,9.174663824348407104e+00
3.186127540056375440e-01,8.669549085970169600e-01,3.453939754056731370e+00,1.066134643029732665e+01
3.712686594318661548e-01,2.069230257327755729e-01,4.336166062275827571e+00,6.893887599207615402e+00
3.753273398399487593e-01,-5.353407104599805511e-02,4.854043578518136393e+00,3.534583118357684572e+00
3.703685180646560382e-01,-1.981582322021816292e-02,5.047965895118769808e+00,3.458776780103451909e-01
3.722394805124746853e-01,4.062812696801694490e-02,4.923281622660550028e+00,-2.839477052683126335e+00
3.707441786357238978e-01,-1.321594415518094756e-01,4.477540472667238980e+00,-6.119375723211147644e+00
3.304828114836838027e-01,-7.344190043469391860e-01,3.679248449723088399e+00,-9.916522174745457718e+00
2.439063916791347486e-01,-7.278968301560322374e-01,2.617904476180671125e+00,-9.914329419314226399e+00
2.048742818530917553e-01,-1.157574811515808683e-01,1.820755876574385423e+00,-6.100487657050932988e+00
2.051855846934568239e-01,5.984336916747795554e-02,1.377403647844714918e+00,-2.810506445932061670e+00
2.091143235140343337e-01,2.747978146440873196e-03,1.256175156594198317e+00,3.858874087629659000e-01
2.067966535105088266e-01,-2.231108680031010025e-02,1.454579234449365766e+00,3.584421147043995504e+00
2.145438095094688025e-01,2.486607771359951313e-01,1.978253412675587963e+00,6.961355701104261939e+00
2.707228347047216377e-01,8.794738772533718940e-01,2.864883903620983219e+00,1.061555145552946300e+01
3.526506139749454039e-01,5.467681360856886386e-01,3.896340574394979495e+00,8.877430380831301093e+00
3.780458223188339906e-01,4.149891352443446646e-02,4.593827004793863189e+00,5.192832375504947251e+00
3.751380041681798283e-01,-5.002183002441523696e-02,4.949832764459912049e+00,1.948641283128472956e+00
3.733385886497640471e-01,1.846560829184857450e-02,4.984437225199922494e+00,-1.256633470969985789e+00
3.754161430514193487e-01,-1.620065966936736976e-02,4.698247049469927994e+00,-4.477159145576811383e+00
3.577998839570490364e-01,-4.147670057927805853e-01,4.079007572395850545e+00,-8.012885483309375445e+00
2.849691280296653972e-01,-9.252787647055139564e-01,3.102265871303883316e+00,-1.082834311223771984e+01
2.174441835004553847e-01,-3.488871563889271998e-01,2.151443307935099636e+00,-7.670819816365223254e+00
2.047118276911767121e-01,1.603809930198014239e-02,1.564018479926154948e+00,-4.175033402073676569e+00
2.089837718794562427e-01,3.416920727452919110e-02,1.308061653526110479e+00,-9.508113869695983267e-01
2.089946974099594623e-01,-2.498368667431446338e-02,1.373691831386365525e+00,2.262932581872644011e+00
2.102040406345165868e-01,1.029809405370646636e-01,1.762041254993981010e+00,5.533344970878935953e+00
2.439385173056434764e-01,6.417950297373896662e-01,2.496699910808089840e+00,9.252383210589625762e+00
3.281326498394652735e-01,7.994368682729297015e-01,3.529845240853259902e+00,1.012741493944118609e+01
3.752319845514492935e-01,1.796630724061237250e-01,4.357163679425916314e+00,6.387136253290191412e+00
3.789044189457991818e-01,-4.082118529843519611e-02,4.825944667096319307e+00,3.042395981948724959e+00
3.755506571601668897e-01,-6.865995911828816183e-03,4.969016580723859100e+00,-1.805012858221540228e-01
3.770135196229343344e-01,1.157942148801515379e-02,4.789850475569222610e+00,-3.404442221691678316e+00
3.684355461630033357e-01,-2.518126461151463102e-01,4.283450076605602952e+00,-6.789406856384012201e+00
3.131154320343023656e-01,-8.578584347317809167e-01,3.416737296830666182e+00,-1.037680327705468208e+01
2.327777157414714637e-01,-5.446099594461095705e-01,2.406590653333738672e+00,-8.716047162836719764e+00
2.067446027509157458e-01,-5.252675945223504034e-02,1.723458543613003213e+00,-5.051873695617432602e+00
2.085929046570850487e-01,4.174092893282849853e-02,1.382479612236967581e+00,-1.787510883211863799e+00
2.101708863488353229e-01,-1.239347037594658654e-02,1.365174565500812065e+00,1.441432515919663482e+00
2.100882507659257992e-01,5.316885328851256309e-02,1.671208928921287473e+00,4.693060015075881886e+00
2.334906385758307168e-01,4.905517355569871674e-01,2.315071037039682977e+00,8.284524238406836716e+00
3.104460811694956246e-01,8.857817786524515569e-01,3.299191461657110747e+00,1.048142784341752787e+01
3.707613670472876821e-01,2.911161138937129467e-01,4.193300788754329211e+00,7.083997326393826732e+00
3.809246515703428870e-01,-1.582302035998491702e-02,4.726026084094391067e+00,3.646577016828219442e+00
3.778048273754667230e-01,-1.858529787462311761e-02,4.928516045055107320e+00,4.064080895578637831e-01
3.783016147677879526e-01,1.181429563076183062e-02,4.807367192589629745e+00,-2.829494226701847914e+00
3.723136042208551877e-01,-1.929772967794266547e-01,4.359748593014444396e+00,-6.169722280052431174e+00
3.257199042829830304e-01,-7.755919776340051142e-01,3.557342705425419638e+00,-9.844307275700002080e+00
2.431840715886946225e-01,-6.401632275737294542e-01,2.544975143347965041e+00,-9.142761711809848535e+00
2.093818493900917177e-01,-1.017868785926246550e-01,1.819417537879528979e+00,-5.439744754774404889e+00
2.087740435351417845e-01,3.666342160237605341e-02,1.441749917459415054e+00,-2.142338292425128632e+00
2.107488699605273019e-01,-4.227205256918371498e-03,1.389572806854008080e+00,1.098972704435583481e+00
2.109790476978996021e-01,4.665301280031756981e-02,1.661816135239456482e+00,4.355777144270649437e+00
